time	V(v_out)	V(n002)
1.255659014689581e-005	9.063049e+001	9.537127e+001
1.256178409184453e-005	9.064534e+001	9.538609e+001
1.256766625531319e-005	9.066216e+001	9.540287e+001
1.257298713601472e-005	9.067736e+001	9.541805e+001
1.257972849020412e-005	9.069663e+001	9.543729e+001
1.258670774412804e-005	9.071658e+001	9.545720e+001
1.259706789691014e-005	9.074619e+001	9.548676e+001
1.260775561107098e-005	9.077674e+001	9.551725e+001
1.262592367617856e-005	9.082867e+001	9.556908e+001
1.264677159311118e-005	9.088826e+001	9.562856e+001
1.268846742697642e-005	9.100742e+001	9.574750e+001
1.275656038455229e-005	9.120202e+001	9.594171e+001
1.316511813000728e-005	9.236907e+001	9.710628e+001
1.370986179061401e-005	9.392369e+001	9.865708e+001
1.468642429061401e-005	9.670703e+001	1.014325e+002
1.566298679061401e-005	9.948627e+001	1.042027e+002
1.602343749999998e-005	1.005106e+002	1.052233e+002
1.658084148736837e-005	1.020922e+002	1.067987e+002
1.676516878701742e-005	1.026146e+002	1.073188e+002
1.699999999999998e-005	1.032799e+002	1.079812e+002
1.700051675260130e-005	1.032813e+002	1.079827e+002
1.700155025780384e-005	1.032842e+002	1.079856e+002
1.700255477543112e-005	1.032871e+002	1.079885e+002
1.700355743897836e-005	1.032899e+002	1.079913e+002
1.700556276607284e-005	1.032956e+002	1.079970e+002
1.700847552551415e-005	1.033038e+002	1.080052e+002
1.701242970991539e-005	1.033150e+002	1.080163e+002
1.701751696208873e-005	1.033295e+002	1.080307e+002
1.702428552703011e-005	1.033486e+002	1.080498e+002
1.703322270587746e-005	1.033739e+002	1.080750e+002
1.704552668968322e-005	1.034088e+002	1.081097e+002
1.706292697848310e-005	1.034580e+002	1.081587e+002
1.708962321015728e-005	1.035336e+002	1.082340e+002
1.713520759074770e-005	1.036605e+002	1.082911e+002
1.722637635192864e-005	1.039029e+002	1.079668e+002
1.726173256606073e-005	1.039813e+002	1.073624e+002
1.730680453801404e-005	1.040552e+002	1.059619e+002
1.731328063554109e-005	1.040619e+002	1.057022e+002
1.732623283059521e-005	1.040695e+002	1.050949e+002
1.733280956842586e-005	1.040718e+002	1.047586e+002
1.733680373051591e-005	1.040725e+002	1.045237e+002
1.733824832467602e-005	1.040726e+002	1.043942e+002
1.733889849690968e-005	1.040726e+002	1.042652e+002
1.733963822553775e-005	1.040726e+002	1.040240e+002
1.734020329517640e-005	1.040725e+002	1.037975e+002
1.734074967017806e-005	1.040725e+002	1.035633e+002
1.734151166405014e-005	1.040725e+002	1.032207e+002
1.734303565179430e-005	1.040725e+002	1.024935e+002
1.734469178090998e-005	1.040725e+002	1.016392e+002
1.734732506945044e-005	1.040725e+002	1.001365e+002
1.735092368489524e-005	1.040725e+002	9.779934e+001
1.735657544917697e-005	1.040725e+002	9.346812e+001
1.736488303685909e-005	1.040724e+002	8.624960e+001
1.736559315899727e-005	1.040724e+002	8.554588e+001
1.736843364754997e-005	1.040724e+002	8.254756e+001
1.737316779513781e-005	1.040724e+002	7.723772e+001
1.737506145417294e-005	1.040724e+002	7.496767e+001
1.737565322262142e-005	1.040724e+002	7.424538e+001
1.737588993000081e-005	1.040724e+002	7.396446e+001
1.737636334475960e-005	1.040723e+002	7.346906e+001
1.737648169844929e-005	1.040723e+002	7.339378e+001
1.737671840582869e-005	1.040723e+002	7.332774e+001
1.737719182058747e-005	1.040723e+002	7.322427e+001
1.737813865010504e-005	1.040721e+002	7.304630e+001
1.737927759568546e-005	1.040717e+002	7.285120e+001
1.738101939237249e-005	1.040709e+002	7.257291e+001
1.738384943231262e-005	1.040687e+002	7.215381e+001
1.738950951219300e-005	1.040617e+002	7.140448e+001
1.740082967195374e-005	1.040387e+002	7.011556e+001
1.742346999147524e-005	1.039683e+002	6.786473e+001
1.744814671086198e-005	1.038641e+002	6.555570e+001
1.746151451627483e-005	1.037931e+002	6.428940e+001
1.748297198425489e-005	1.036539e+002	6.213822e+001
